id,date,date_added,title,type,link,language,author,keywords,description,other,image,selected_collection
28,2017-11-20,,The Bitcoin vs Visa Electricity Consumption Fallacy,article,https://hackernoon.com/the-bitcoin-vs-visa-electricity-consumption-fallacy-8cf194987a50,en,Carlos Domingo,"visa, transactions, energy",,,,
29,2021-04-15,,"On Bitcoin, the Gray Lady Embraces Climate Lysenkoism",article,https://medium.com/@nic__carter/on-bitcoin-the-gray-lady-embraces-climate-lysenkoism-a2d31e465ec0,en,Nic Carter,"environment, energy",How the NYT wields junk science in their attacks on Bitcoin,,,
30,2021-02-08,,What Bloomberg Gets Wrong About Bitcoin’s Climate Footprint,article,https://www.coindesk.com/what-bloomberg-gets-wrong-about-bitcoins-climate-footprint,en,Nic Carter,"energy, environment","Recently, Bloomberg published a piece calling Bitcoin an “incredibly dirty business.” It’s undeniable that the Bitcoin blockchain has a carbon footprint. Some bitcoins are mined with non-renewable energy, although plenty is mined with hydro, nuclear, or otherwise-vented natural gas, too. No one contests the externality of bitcoin, although the precise carbon footprint is debated. However, the article, by opinion columnist Lionel Laurent unfortunately relies on the flawed assumption that individual bitcoin transactions carry an energy overhead.",,,
31,2021-03-05,,"The Frustrating, Maddening, All-Consuming Bitcoin Energy Debate",article,https://www.coindesk.com/frustrating-maddening-all-consuming-bitcoin-energy-debate,en,Nic Carter,"energy, environment","The Bitcoin energy debate rumbles on, seemingly without end. Bitcoiners are rightfully frustrated at having to defend Bitcoin’s share of global energy production, given the lack of equivalent scrutiny applied to other apparently wasteful applications which consume similar amounts of energy. In a sense, arguing over minutiae like the energy mix of bitcoin miners, as I have done in the past, is to miss the point. The question ultimately boils down not to the particulars of mining but rather the societal merit of non-state money.",,,
32,2021-04-29,,Uncovering The Hidden Costs Of The Petrodollar,article,https://bitcoinmagazine.com/culture/the-hidden-costs-of-the-petrodollar,en,Alex Gladstein,"petrodollar, energy, environment","In its growth from conceptual white paper to trillion-dollar asset, Bitcoin has attracted an enormous amount of criticism. Detractors focus on its perceived negative externalities: energy consumption, carbon footprint, lack of centralized control and inability to be regulated. Regardless of the validity of these arguments, few critics stop to think comparatively about the negative externalities of the world’s current financial system of dollar hegemony.",,,
33,2018-04-21,,Carbon Footprint differences: BTC vs Banks,article,https://medium.com/@mukeat/carbon-footprint-differences-btc-vsbanks-a5f8f0b844d0,en,Stackmore,"environment, carbon, energy",Bitcoin is criticized heavily due to its high resource use and high carbon footprint. So in this article I want to compare the CO2 footprint of Banks and BTC.,,,
34,2021-05-21,,Bitcoin Is The First Global Market For Electricity And Will Unleash Renewables,article,https://www.citadel21.com/bitcoin-is-the-first-global-market-for-electricity-and-will-unleash-renewables,en,Nima Tabatabai,"energy, market, renewables","With bitcoin increasingly functioning as a highly liquid, global monetary good (now among the top 10 global currencies by most measures), it is more apt to think of Bitcoin mining as a new global market for electricity which is very different to the grid-based markets we are accustomed to.",,,
35,2021-03-29,,Noahbjectivity on Bitcoin Mining,article,https://medium.com/@nic__carter/noahbjectivity-on-bitcoin-mining-2052226310cb,en,Nic Carter,"mining, energy, environment",A response to Noah Smith,,,
36,2017-11-16,,Green energy and Bitcoin,article,https://medium.com/hackernoon/green-energy-and-bitcoin-eb7961f38382,en,Knut Svanholm,"energy, environment, renewables",There’s a lot of concern about the environmental impact of Bitcoin in general and Bitcoin mining in particular. The most common critique is that Bitcoin mining requires massive amounts of power. A single Bitcoin transaction can use up electricity equivalent to what a normal sized villa uses in a week. It certainly seems like an enormous waste. Is it? Is there another way of looking at this? Let’s examine the issue.,,,
37,2021-05-20,,Jack Dorsey Says Bitcoin Can Make the World Greener. Could He Be Right?,article,https://nymag.com/intelligencer/2021/05/jack-dorsey-says-bitcoin-is-climate-friendly-is-he-right.html,en,Jen Wieczner,"renewables, energy, environment","The day before Earth Day this year, Jack Dorsey, Twitter’s CEO, tweeted that '#bitcoin incentivizes renewable energy.' ",,,
38,2018-12-06,,Beware of Lazy Research: Let’s Talk Electricity Waste & How Bitcoin Mining Can Power A Renewable Energy Renaissance,article,https://medium.com/coinshares/beware-of-lazy-research-c828c900b7d5,en,Christopher Bendiksen,"mining, energy, pow",At this point you probably haven’t missed it: the hottest narrative in the anti-Bitcoin playbook is the environmentalist attack on Proof-of-Work (PoW) consensus algorithms. Exhibit A:,,,
39,2021-04-04,,Addressing Concerns About Bitcoin’s Electricity Use,article,https://mdotbit.medium.com/addressing-concerns-about-bitcoins-electricity-use-378e0de4af42,en,mBit,"mining, energy",Bitcoin mining is a catalyst for more sustainable energy production,,,
40,2017-12-14,,How Bitcoin could drive the clean energy revolution,article,https://www.coincenter.org/how-bitcoin-could-drive-the-clean-energy-revolution/,en,Peter Van Valkenburgh,"renewables, energy","The system’s economic incentives favor clean, renewable, energy",,,
41,2021-04-22,,Comparing Bitcoin’s Environmental Impact…,article,https://hassmccook.medium.com/comparing-bitcoins-environmental-impact-f56b18014f64,en,Hass McCook,"environment, energy","Bitcoin’s energy consumption and environmental impact is something that is commented on very regularly, but ultimately, is something that is rarely understood. The majority of arguments stem from comparisons of Bitcoin to particular nation states, or some other apples to oranges comparison. Critics can’t even separate “energy use” from “electricity use”.",,,
42,2021-06-14,,Is Bitcoin an Environmental Disaster?,article,https://www.pairagraph.com/dialogue/9f0dfc47978740ebb0439efaadf23f41/2,en,"Alex de Vries, Dominic Frisby","environment, energy",,,,
43,2021-06-15,,Bitcoin Emits Less Than 2% Of The World’s Military-Industrial Complex Carbon Emissions,article,https://bitcoinmagazine.com/culture/bitcoin-vs-world-military-emissions,en,Hass McCook,"energy, carbon, military",Published research shows Bitcoin mining produces a mere fraction of the carbon emissions coming from the world’s military-industrial complex,,,
44,2018-06-10,,Bitcoin's Energy Consumption: A shift in perspective,article,https://dergigi.com/2018/06/10/bitcoin-s-energy-consumption/,en,Der Gigi,"energy, environment","You might have heard that Bitcoin wastes a tremendous amount of energy. You might also have heard that Bitcoin will use half a percent of the world’s electric energy by the end of the year, the computations used for mining don’t do anything useful, and if the current rate of growth continues it will suck up all the energy and we are all going to die.",,,
45,2019-09-15,,"Yellow Rock Bad, Orange Coin Good: Environmental & Social Impacts of Gold & Bitcoin",video,https://www.youtube.com/watch?v=ns_I2LpeAbQ&t=26084s,en,Hodl Hodl,"energy, environment, mining, gold",Full recording of day 2 of the 2019 Baltic Honeybadger Bitcoin conference,,,
46,2021-03-28,,Why Bitcoin’s Imitators Are Scams,article,https://tomerstrolight.medium.com/why-bitcoins-imitators-are-scams-e38fab4c78ba,en,Tomer Strolight,shitcoins,Welcome newcomer. You’ve of course heard of Bitcoin. And you’ve probably heard you can make or lose a lot of money on it. This article is intended to help you not lose money by explaining ,,,
47,2019-07-22,,"It’s the settlement assurances, stupid",article,https://medium.com/@nic__carter/its-the-settlement-assurances-stupid-5dcd1c3f4e41,en,Nic Carter,shitcoins,How to evaluate blockchains,,,
48,2019-08-23,,Bitcoin is Not Too Slow,article,https://nakamotoinstitute.org/mempool/bitcoin-is-not-too-slow/,en,Parker Lewis,shitcoins,"Part of the series ""Gradually, then suddenly""",,,
49,2019-08-02,,Bitcoin Can't Be Copied,article,https://nakamotoinstitute.org/mempool/bitcoin-cant-be-copied/,en,Parker Lewis,shitcoins,"Part of the series ""Gradually, then suddenly""",,,
50,2019-09-06,,"Bitcoin, Not Blockchain",article,https://nakamotoinstitute.org/mempool/bitcoin-not-blockchain/,en,Parker Lewis,shitcoins,"Part of the series ""Gradually, then suddenly""",,,
51,2020-04-21,,On the fairness of a non-inflationary currency,article,https://github.com/raulcano/articles/blob/master/fairness-of-deflationary-currency.md,en,Raúl Cano,"inflation, justice","My intuition tells me that creating money out of thin air is not a good thing. Another intuition I have is that whenever a person decides to delay spending their money and store away the value of their work, it is fair that no one should be able to arbitrarily take away their purchase power. ",,,
52,2020-04-23,,Second defense of a non-inflationary currency,article,https://github.com/raulcano/articles/blob/master/second-defense-non-inflationary-currency.md,en,Raúl Cano,"inflation, justice","This piece is a follow-up of my first one on the fairness of a non-inflationary currency. Since I wrote that, some friends raised a couple of arguments which I'd like to address here. To be precise, I don't think these arguments are new, rather a variation of the ones discussed in the first piece, but still worth the effort of analysing them individually",,,
53,2020-04-30,,Printing money is a bad policy,article,https://github.com/raulcano/articles/blob/master/printing-money-bad-policy.md,en,Raúl Cano,"inflation, justice","Natural catastrophes, ranging from climate-related ones to pandemics are part of the world we live in. If we want to be consistently moral and fair in our defense of how to improve the economy in such scenarios, the strategy we follow to protect us from the latest disaster must necessarily consider that there will be future ones. Not taking that into account ignores the future victims, which are a direct consequence of our current actions, of building a fragile society based on debt, spending and inflation; these future victims are as worthy of our protection as the current ones but, unluckily for them, they are harder to track and link to the original cause of their disgrace.",,,
54,2020-08-20,,Price stability revisited,article,https://github.com/raulcano/articles/blob/master/inflation-and-price-stability.md,en,Raúl Cano,"inflation, justice","With a rate of monetary inflation pegged to productivity, we lose information about the evolution of the means of production of products and services. With no monetary inflation however, knowledge is better relayed since prices are attached to each element in the economy and affected by its relevant characteristics, instead of being aggregated into arbitrary indices which are unfairly composed and ignore the individual choices of each person.",,,
55,2020-01-24,,Bitcoin Obsoletes All Other Money,article,https://nakamotoinstitute.org/mempool/bitcoin-obsoletes-all-other-money/,en,Parker Lewis,shitcoins,"Part of the series ""Gradually, then suddenly""",,,
56,,,Analyzing Bitcoin’s Network Effect,article,https://www.lynalden.com/bitcoins-network-effect/,en,Lyn Alden,"shitcoins, network-effects","This article takes a look at how bitcoin derives its value from its network effect, why that network effect is difficult for a competitor to displace, and what some of the risks are to be aware of so that investors can continue to assess the health of the network.",,,
57,,,An Economic Analysis of Ethereum,article,https://www.lynalden.com/ethereum-analysis/,en,Lyn Alden,"shitcoins, ethereum","Ethereum is the second largest digital asset in the world by market capitalization after Bitcoin, and it enables a big ecosystem of other tokens on top of it. This gives it the only other major network effect in the space.",,,
58,2016-06-20,,Ethereum is doomed,article,https://nakamotoinstitute.org/mempool/ethereum-is-doomed/,en,Daniel Krawisz,"shitcoins, ethereum","Ethereum truly is different from other altcoins. If I had looked into Ethereum more carefully, I might have noticed that economics was not the only subject that the Ethereum devs did not understand. They also don’t understand law and software engineering. They created a situation in which bugs would be expected to arise in an environment in which bugs are legally exploitable. That is hacker heaven.",,,
59,,,Literature section from the Nakamoto Institute,collection,https://nakamotoinstitute.org/literature/,en,Nakamoto Institute,origins,Bitcoin was not forged in a vacuum. These works serve to contextualize Bitcoin into the broader story of cryptography and freedom.,,,
60,,,Every Reason Bitcoin Will Not Fail,article,https://safehodl.github.io/failure,en,Safe Hodl,general,A comprehensive rebuttal addressing the most common criticisms of Bitcoin,,,
61,,,Critique #6: Bitcoin Can Be Cloned,article,https://casebitcoin.com/critiques/bitcoin-can-be-cloned,en,Case Bitcoin,"scarcity, shitcoins",Answer to the common critique that 'bitcoin can be cloned',,,
62,2019-04-26,,Shitcoin Definition,article,https://github.com/libbitcoin/libbitcoin-system/wiki/Shitcoin-Definition,en,Eric Voskuil,shitcoins,Definition of what is a shitcoin,,,
63,2019-10-18,,Bitcoin is Not a Pyramid Scheme,article,https://nakamotoinstitute.org/mempool/bitcoin-is-not-a-pyramid-scheme/,en,Parker Lewis,ponzi,"Part of the series ""Gradually, then suddenly""",,,
64,2021-01-11,,Bitcoin: Addressing the Ponzi Scheme Characterization,article,https://www.lynalden.com/bitcoin-ponzi-scheme/,en,Lyn Alden,ponzi,"One of the concerns I’ve seen aimed at Bitcoin is the claim that it’s a Ponzi scheme. The argument suggests that because the Bitcoin network is continually reliant on new people buying in, that eventually it will collapse in price as new buyers are exhausted.",,,
65,2019-11-29,,Bitcoin is Not for Criminals,article,https://nakamotoinstitute.org/mempool/bitcoin-is-not-for-criminals/,en,Parker Lewis,criminals,"Part of the series ""Gradually, then suddenly""",,,
66,,,Critique #5: Bitcoin is Used By Criminals,article,https://casebitcoin.com/critiques/bitcoin-is-used-by-criminals,en,Case Bitcoin,criminals,Response to the critique that Bitcoin is used by drug dealers and money launderers therefore it is bad.,,,
67,2019-12-27,,In support of the proof of work [un]fair launch,article,https://medium.com/@nic__carter/in-support-of-the-proof-of-work-un-fair-launch-cd6e8f06358f,en,Nic Carter,"pow, justice","The presence of ASICs in Proof of Work systems has always been deeply contentious. At maturity, ASICs enhance the security of the network (by forcing miners to take a long term stake in the success of the protocol), but in the transitional phase, the first hardware manufacturer to build ASICs has a near-monopoly on the minting of new coins. This can lead to the existence of an informal form of seigniorage — minting money at a discount to its market value.",,,
68,2018-08-06,,ASIC Resistance is Nothing but a Blockchain Buzzword,article,https://medium.com/hackernoon/asic-resistance-is-nothing-but-a-blockchain-buzzword-b91d3d770366,en,StopAndDecrypt,pow,Changing Bitcoin’s Proof-of-Work is a Futile Endeavor,,,
69,2018-10-04,,Bitcoin’s Distribution was Fair,article,https://danhedl.medium.com/bitcoins-distribution-was-fair-e2ef7bbbc892,en,Dan Held,"pow, justice","As Bitcoin rises in popularity, and continues to challenge mainstream thought, there will be concerns around certain parameters of its existence. One of those is that the distribution of Bitcoin wasn’t “fair,” particularly in the earlier stages of network development. I’ll dive into the timeline surrounding Bitcoin’s launch, and provide a thorough debunking of unfair early distribution claims.",,,
70,2019-08-09,,Bitcoin is Not Too Volatile,article,https://nakamotoinstitute.org/mempool/bitcoin-is-not-too-volatile/,en,Parker Lewis,"volatility, money","Part of the series ""Gradually, then suddenly"" Has anyone you respect ever told you that bitcoin doesn’t make any sense? Maybe you’ve seen the price of bitcoin rise exponentially and then seen it crash. You write it off, believe your friend was right, don’t hear about it for a while and think bitcoin must have died. But then you wake up a few years later, bitcoin hasn’t died and somehow its value is a lot higher again. And you start thinking maybe your skeptical friend wasn’t right?",,,
71,2020-11-11,,7 Misconceptions About Bitcoin,article,https://www.lynalden.com/misconceptions-about-bitcoin/,en,Lyn Alden,"volatility, money, scalability, ban, energy","I’ve received many emails about Bitcoin over this summer and autumn. I’ve answered several of them via email, but figured I would summarize the most popular ones into a quick article on the subject. These are common misconceptions, risks, or questions.",,,
72,2019-08-08,,Value Proposition,article,https://github.com/libbitcoin/libbitcoin-system/wiki/Value-Proposition,en,Eric Voskuil,money,The value of Bitcoin over its alternatives derives directly from removing the state from control over both monetary supply and transaction censorship,,,
73,2014-05-03,,How We Know Bitcoin Is Not a Bubble,article,https://nakamotoinstitute.org/mempool/how-we-know-bitcoin-is-not-a-bubble/,en,Daniel Krawisz,"money, volatility","No matter how many times Bitcoin grows by orders of magnitude, holdouts still remain who argue that it is a bubble destined to fail. To address this claim, I will describe a theory that describes how to appraise Bitcoin according to the Austrian theory of money.",,,
74,,,Subjective theory of value,article,https://en.m.wikipedia.org/wiki/Subjective_theory_of_value,en,Wikipedia,"money, value, economics","The subjective theory of value is a theory of value which advances the idea that the value of a good is not determined by any inherent property of the good, nor by the amount of labor necessary to produce the good, but instead value is determined by the importance an acting individual places on a good for the achievement of his desired ends",,,
75,,,Critique #1: Bitcoin Has No Intrinsic Value,article,https://casebitcoin.com/critiques/no-intrinsic-value,en,Case Bitcoin,"value, not-backed-by-anything","Rebuttal to the critique that Bitcoin is purely digital & backed by nothing, and therefore has no intrinsic value.",,,
76,2020-02-11,,Regression Fallacy,article,https://github.com/libbitcoin/libbitcoin-system/wiki/Regression-Fallacy,en,Eric Voskuil,"economics, value","The Regression Theorem relies on the assumption that the first people to value something as a money must do so based on a memory of its prior use value, with the thing eventually obtaining barter utility and finally monetary value.",,,
77,,,Critique #7: Bitcoin is a Bubble,article,https://casebitcoin.com/critiques/bitcoin-is-a-bubble,en,Case Bitcoin,"volatility, bubble","Rebuttal to the critique that like tulip-bulbs hundreds of years ago, Bitcoin is a retail mania, and it will collapse.",,,
78,,,Critique #11: Bitcoin is Being Pumped by Tether,article,https://casebitcoin.com/critiques/bitcoin-is-pumped-by-tether,en,Case Bitcoin,tether,"Rebuttal to the critique that Tether is a ponzi-scheme; new units are issued out of thin air and used to buy bitcoin, dramatically and artificially inflating the price of BTC.",,,
79,2021-01-21,,Don't fear Tether,article,https://danheld.substack.com/p/dont-fear-tether,en,Dan Held,tether,"Whenever Bitcoin has a bull run, naysayers try to cope with missing the boat by rationalizing why it will fail through “Fear, Uncertainty, and Doubt” (FUD). Most of these are completely unsubstantiated, but annoyingly persist as negative narratives Bitcoin must fight against.",,,
80,2020-12-19,,Bitcoin is the Great Definancialization,article,https://nakamotoinstitute.org/mempool/bitcoin-is-the-great-definancialization/,en,Parker Lewis,inflation,"Part of the series ""Gradually, then suddenly""",,,
81,2009-11-10,,Inflation and Deflation,article,https://mises.org/library/inflation-and-deflation,en,Ludwig von Mises,"inflation, deflation","The services money renders are conditioned by the height of its purchasing power. Nobody wants to have in his cash holding a definite number of pieces of money or a definite weight of money; he wants to keep a cash holding of a definite amount of purchasing power. As the operation of the market tends to determine the final state of money's purchasing power at a height at which the supply of and the demand for money coincide, there can never be an excess or a deficiency of money.",,,
82,2013-12-15,,The Bitcoin Central Bank's Perfect Monetary Policy,article,https://nakamotoinstitute.org/mempool/the-bitcoin-central-banks-perfect-monetary-policy/,en,Pierre Rochard,inflation,The following post provides an analytical framework so that critics and proponents of Bitcoin’s monetary policy can engage in a constructive debate.,,,
83,,,Blockchain demo,tool,https://andersbrownworth.com/blockchain/blockchain,en,Anders Brownworth,"blockchain, simulator",A tool to try out how you can link blocks in a simple blockchain,,,
84,,,Whirlpool + Postmix Spending FAQ,guide,https://bitcoiner.guide/whirlpool/,en,BitcoinQ+A,"whirpool, samurai, coinjoin",A guide to guide you through the main aspects of Whirpool coinjoin,,whirlpool.jpg,3
85,2016-06-14,,What’s Wrong with Proof of Stake?,article,https://medium.com/@BobMcElrath/whats-wrong-with-proof-of-stake-77d4f370be15,en,Bob McElrath,"pow, pos","Using computers to manage assets is not new. Indeed that’s a major reason computers were invented. What, then, makes Bitcoin and blockchains different?",,,
86,2019-04-20,,Proof of Stake Fallacy,article,https://github.com/libbitcoin/libbitcoin-system/wiki/Proof-of-Stake-Fallacy,en,Eric Voskuil,"pos, pow",Confirmation security requires a person of authority to order transactions. Bitcoin periodically assigns this authority to the miner who produces the greatest proof of work. All forms of work necessarily reduce to energy consumption. It is essential that such proof be independent of the chain history. We can refer to this as “external” proof.,,,
87,2015-08-04,,Nothing is Cheaper than Proof of Work,article,https://www.truthcoin.info/blog/pow-cheapest/,en,Paul Sztorc,"pow, pos",So-called “alternatives” to Proof-of-Work “waste” just as much “work”.,,,
88,2015-03-22,,On Stake and Consensus,article,https://download.wpsoftware.net/bitcoin/pos.pdf,en,Andrew Poelstra,"pos, pow",Why proof-of-stake and similar mechanisms are fundamentally unable to produce a distributed consensuswithin Bitcoin’s trust model,,,
89,2014-11-16,,"Long Live Proof-of-Work, Long Live Mining",article,https://www.truthcoin.info/blog/pow-and-mining/,en,Paul Sztorc,"pow, mining","Satoshi got it right: [1] proof of work ensures distributed consensus, and [2] mining ensures an economically-viable network.",,,
90,2018-03-18,,Proof-of-Stake & the Wrong Engineering Mindset,article,https://hugonguyen.medium.com/proof-of-stake-the-wrong-engineering-mindset-15e641ab65a2,en,Hugo Nguyen,"pow, pos","Proof-of-Stake (PoS) is all the rage these days. Ethereum Casper, Cardano Ouroboros, etc. you name it. The rising interest in PoS protocols is probably due to the desire to scale blockchains indefinitely, combined with the mistaken notion that Proof-of-Work (PoW) is somehow “wasteful.”",,,
